Создан как новый массив данных;Образец 1522 полученный PEService Дата пятница, декабря 01 2023
cm-1;%T
4000,00;101,25
3999,00;101,25
3998,00;101,25
3997,00;101,25
3996,00;101,25
3995,00;101,25
3994,00;101,25
3993,00;101,25
3992,00;101,24
3991,00;101,24
3990,00;101,24
3989,00;101,24
3988,00;101,24
3987,00;101,24
3986,00;101,24
3985,00;101,24
3984,00;101,24
3983,00;101,24
3982,00;101,24
3981,00;101,24
3980,00;101,24
3979,00;101,23
3978,00;101,23
3977,00;101,23
3976,00;101,23
3975,00;101,23
3974,00;101,23
3973,00;101,23
3972,00;101,23
3971,00;101,23
3970,00;101,23
3969,00;101,24
3968,00;101,24
3967,00;101,24
3966,00;101,24
3965,00;101,24
3964,00;101,25
3963,00;101,25
3962,00;101,25
3961,00;101,25
3960,00;101,25
3959,00;101,25
3958,00;101,25
3957,00;101,25
3956,00;101,25
3955,00;101,25
3954,00;101,25
3953,00;101,25
3952,00;101,25
3951,00;101,25
3950,00;101,25
3949,00;101,26
3948,00;101,26
3947,00;101,26
3946,00;101,26
3945,00;101,26
3944,00;101,26
3943,00;101,26
3942,00;101,25
3941,00;101,25
3940,00;101,25
3939,00;101,25
3938,00;101,25
3937,00;101,25
3936,00;101,25
3935,00;101,25
3934,00;101,25
3933,00;101,25
3932,00;101,25
3931,00;101,25
3930,00;101,25
3929,00;101,26
3928,00;101,26
3927,00;101,26
3926,00;101,26
3925,00;101,26
3924,00;101,26
3923,00;101,26
3922,00;101,26
3921,00;101,26
3920,00;101,25
3919,00;101,25
3918,00;101,25
3917,00;101,25
3916,00;101,25
3915,00;101,25
3914,00;101,25
3913,00;101,25
3912,00;101,25
3911,00;101,25
3910,00;101,24
3909,00;101,24
3908,00;101,24
3907,00;101,24
3906,00;101,24
3905,00;101,24
3904,00;101,24
3903,00;101,24
3902,00;101,24
3901,00;101,24
3900,00;101,24
3899,00;101,25
3898,00;101,25
3897,00;101,25
3896,00;101,25
3895,00;101,25
3894,00;101,25
3893,00;101,25
3892,00;101,25
3891,00;101,24
3890,00;101,24
3889,00;101,24
3888,00;101,24
3887,00;101,24
3886,00;101,24
3885,00;101,24
3884,00;101,24
3883,00;101,25
3882,00;101,25
3881,00;101,25
3880,00;101,25
3879,00;101,25
3878,00;101,24
3877,00;101,24
3876,00;101,24
3875,00;101,24
3874,00;101,24
3873,00;101,24
3872,00;101,24
3871,00;101,24
3870,00;101,24
3869,00;101,24
3868,00;101,24
3867,00;101,24
3866,00;101,24
3865,00;101,24
3864,00;101,24
3863,00;101,24
3862,00;101,24
3861,00;101,24
3860,00;101,24
3859,00;101,24
3858,00;101,23
3857,00;101,22
3856,00;101,22
3855,00;101,22
3854,00;101,22
3853,00;101,22
3852,00;101,23
3851,00;101,23
3850,00;101,24
3849,00;101,25
3848,00;101,25
3847,00;101,25
3846,00;101,25
3845,00;101,24
3844,00;101,24
3843,00;101,24
3842,00;101,23
3841,00;101,23
3840,00;101,23
3839,00;101,23
3838,00;101,23
3837,00;101,23
3836,00;101,23
3835,00;101,24
3834,00;101,24
3833,00;101,24
3832,00;101,24
3831,00;101,24
3830,00;101,24
3829,00;101,25
3828,00;101,25
3827,00;101,24
3826,00;101,24
3825,00;101,24
3824,00;101,24
3823,00;101,24
3822,00;101,25
3821,00;101,25
3820,00;101,25
3819,00;101,24
3818,00;101,25
3817,00;101,25
3816,00;101,25
3815,00;101,25
3814,00;101,25
3813,00;101,25
3812,00;101,25
3811,00;101,25
3810,00;101,24
3809,00;101,24
3808,00;101,24
3807,00;101,24
3806,00;101,24
3805,00;101,24
3804,00;101,24
3803,00;101,24
3802,00;101,25
3801,00;101,25
3800,00;101,25
3799,00;101,25
3798,00;101,25
3797,00;101,25
3796,00;101,25
3795,00;101,25
3794,00;101,25
3793,00;101,25
3792,00;101,25
3791,00;101,24
3790,00;101,24
3789,00;101,24
3788,00;101,24
3787,00;101,24
3786,00;101,24
3785,00;101,25
3784,00;101,25
3783,00;101,25
3782,00;101,25
3781,00;101,25
3780,00;101,25
3779,00;101,25
3778,00;101,25
3777,00;101,24
3776,00;101,24
3775,00;101,24
3774,00;101,24
3773,00;101,24
3772,00;101,24
3771,00;101,24
3770,00;101,24
3769,00;101,24
3768,00;101,24
3767,00;101,24
3766,00;101,24
3765,00;101,24
3764,00;101,23
3763,00;101,23
3762,00;101,23
3761,00;101,23
3760,00;101,23
3759,00;101,23
3758,00;101,23
3757,00;101,23
3756,00;101,22
3755,00;101,22
3754,00;101,22
3753,00;101,23
3752,00;101,23
3751,00;101,23
3750,00;101,24
3749,00;101,24
3748,00;101,24
3747,00;101,24
3746,00;101,24
3745,00;101,25
3744,00;101,25
3743,00;101,24
3742,00;101,24
3741,00;101,25
3740,00;101,25
3739,00;101,25
3738,00;101,25
3737,00;101,25
3736,00;101,25
3735,00;101,25
3734,00;101,25
3733,00;101,25
3732,00;101,24
3731,00;101,24
3730,00;101,24
3729,00;101,24
3728,00;101,24
3727,00;101,24
3726,00;101,24
3725,00;101,24
3724,00;101,24
3723,00;101,24
3722,00;101,24
3721,00;101,23
3720,00;101,23
3719,00;101,23
3718,00;101,23
3717,00;101,23
3716,00;101,23
3715,00;101,22
3714,00;101,22
3713,00;101,23
3712,00;101,23
3711,00;101,23
3710,00;101,23
3709,00;101,23
3708,00;101,23
3707,00;101,23
3706,00;101,23
3705,00;101,23
3704,00;101,22
3703,00;101,22
3702,00;101,22
3701,00;101,22
3700,00;101,22
3699,00;101,22
3698,00;101,21
3697,00;101,21
3696,00;101,21
3695,00;101,21
3694,00;101,21
3693,00;101,21
3692,00;101,21
3691,00;101,20
3690,00;101,20
3689,00;101,20
3688,00;101,20
3687,00;101,20
